HD117877  4872  137  -0.31  0.09  0.17  2.71  
HD119650  4503  185  -0.06  0.1  0.17  2.33  
HD120315  6987  714  -2.57  0.6  0.2  5.24  
HD130255  4598  171  -0.74  0.12  0.17  2.67  
HD131670  4585  192  -0.03  0.11  0.17  2.65  
HD135148  4982  1209  -3.99  1.8  0.19  2.44  
HD143993  7072  720  -1.69  0.34  0.18  6.4  
HD147609  6330  75  -0.22  0.08  0.18  4.0  
HD150304  4244  114  -0.44  0.08  0.17  2.51  
HD16173  5250  296  0.22  0.17  0.17  2.78  
HD170875  4791  136  -0.21  0.13  0.17  3.56  
HD183915  4644  354  -0.15  0.21  0.17  2.28  
HD186882  8128  829  -1.32  0.7  0.2  7.85  
HD187216  4419  1058  -5.78  3.49  0.2  -0.68  
HD188650  5525  185  -0.61  0.07  0.18  0.92  
HD189039  4806  293  -0.92  0.21  0.17  1.95  
HD19438  6809  835  -1.45  0.34  0.18  5.86  
HD197604  4265  740  -0.28  0.26  0.17  0.03  
HD201270  5929  147  -0.69  0.14  0.18  3.78  
HD201657  4479  591  -0.44  0.14  0.17  2.45  
HD204751  6861  259  -0.52  0.11  0.18  4.81  
HD206843  5993  156  -1.01  0.12  0.18  3.95  
HD213036  5648  110  0.25  0.15  0.17  2.03  
HD215336  3733  730  -0.59  0.11  0.17  1.91  
HD215686  6824  713  -2.29  0.6  0.18  5.67  
HD217143  4681  330  -0.32  0.14  0.17  2.86  
HD233158  3909  725  -0.87  0.17  0.17  2.63  
HD239581  6934  557  -2.68  1.54  0.21  5.25  
HD24760  6439  569  -4.09  1.09  0.2  2.94  
HD26395  6541  200  -1.61  0.25  0.18  5.04  
HD278  5402  300  -0.94  0.29  0.18  2.55  
HD29157  6410  109  -0.29  0.08  0.18  4.1  
HD30339  6165  103  0.42  0.08  0.17  4.61  
HD30443  3474  1173  -1.76  0.63  0.18  0.19  
HD30738  6484  262  -0.36  0.11  0.18  4.33  
HD3410  5821  202  -1.11  0.15  0.18  2.91  
HD34128  7694  639  -0.82  0.2  0.18  6.83  
HD3454  6041  85  -0.52  0.07  0.18  5.34  
HD39251  6142  250  -1.37  0.19  0.18  4.38  
HD46148  5790  289  -0.97  0.14  0.18  3.53  
HD48767  6349  150  -0.46  0.09  0.18  4.0  
HD50688  6347  64  -0.27  0.09  0.18  4.41  
HD50720  6069  66  -0.97  0.07  0.18  3.23  
HD5663  6564  348  -0.2  0.28  0.18  5.76  
HD69766  6080  108  -0.92  0.19  0.18  3.49  
HD76396  4572  283  -2.96  0.52  0.18  0.25  
HD7863  4576  164  -0.06  0.09  0.17  3.12  
HD80492  4714  380  -1.8  0.23  0.18  1.59  
HD89240  4127  209  -0.17  0.1  0.17  2.64  
HD90127  4606  181  -0.13  0.11  0.17  2.64  
HD91498  7167  434  -1.49  0.39  0.18  6.41  
HD95241  5894  81  -0.3  0.06  0.18  3.89  
HD95345  4539  126  0.0  0.09  0.17  2.62  
HD95363  6354  135  -0.46  0.1  0.18  4.06  
HD98217  4943  194  0.0  0.09  0.17  2.82  
HIC112972  5905  327  -1.17  0.14  0.18  3.71  
HRPeg  3972  890  -1.43  0.53  0.17  2.22  
IRAS17032+7741  6272  4467  -1.76  2.36  0.19  7.08  
IRAS18023+2518  4491  896  -1.79  0.6  0.17  3.33  
J105730  6476  711  -0.53  0.24  0.18  2.83  
OXSer  4620  289  -2.05  0.28  0.18  2.16  
PXDra  6754  31  -1.36  0.24  0.18  5.13  
RXJ0816  6242  410  -0.4  0.21  0.18  4.51  
TW  5713  253  -0.58  0.1  0.18  4.19  
TWCnc  5753  109  -0.4  0.14  0.18  4.0  
TYC2040-1154-1  4453  242  -0.49  0.24  0.17  2.74  
TYC2564-1287-1  4693  126  -0.32  0.1  0.17  2.74  
V*HRPeg  4393  908  -1.05  0.59  0.18  3.54  
V*V2012Cyg  1821  1250  -2.83  0.55  0.17  -2.32  
V*V395Cyg  6372  460  -0.15  0.27  0.18  2.01  
V*V453Cep  6162  372  -1.01  0.22  0.18  4.35  
V1139Tau  3805  1039  -2.22  0.49  0.18  2.09  
V2012Cyg  2116  665  -3.05  0.39  0.17  -1.23  
V335Sge  4152  1263  -2.54  0.6  0.18  2.79  
V365Cas  4235  1248  -2.68  1.07  0.18  2.47  
V395Cyg  6536  146  -0.13  0.18  0.18  2.12  
V453Cep  5631  286  -1.58  0.17  0.18  3.31  
V530Lyr  4028  909  -0.92  0.42  0.17  2.57  
chiCyg  6215  2702  -2.45  2.27  0.18  5.72  
HD189132  6921  156  -2.13  0.39  0.18  5.46  
HD2291  4961  131  -0.9  0.14  0.17  2.93  
HD187921  5152  765  0.1  0.21  0.17  -0.06  
HD220624  6159  163  -1.04  0.11  0.18  2.76  
HD26897  4333  224  -0.86  0.17  0.17  0.68  
HD32456  6020  135  -0.57  0.29  0.18  3.19  
HD33363  4455  61  -0.98  0.2  0.17  1.8  
HD48680  3989  382  -1.21  0.23  0.17  1.12  
HD185151  4299  482  -2.27  0.37  0.18  1.2  
HD205197  5711  158  -1.57  0.14  0.18  3.35  
HD209621  3835  668  -2.48  0.35  0.18  -0.28  
HD208253  5572  407  -1.64  0.13  0.18  3.53  
V2012Cyg  2687  392  -3.37  0.38  0.18  -1.51  
BD+622179  5007  140  -1.08  0.13  0.18  1.45  
HD222355  5702  451  -1.26  0.13  0.18  3.91  
HD31913  5098  185  -1.22  0.19  0.18  -0.15  
HD4757  6634  407  -1.9  0.42  0.18  5.04  
RCyg  4192  401  -3.16  0.65  0.18  1.14  
BD+54144A  5617  60  -1.91  0.19  0.18  3.21  
HD28987  6694  134  -2.68  0.36  0.19  4.52  
HD31381  4822  165  -1.69  0.21  0.18  1.03  
HD4350  3948  1449  -10.11  7.4  0.25  -5.8  
SUTri  3625  384  -4.48  2.02  0.2  -0.6  
V1139Tau  3519  525  -3.15  0.42  0.18  0.08  
HD23952  5428  152  -2.16  0.25  0.18  2.88  
HD277477  3828  825  -1.34  0.19  0.17  1.04  
HD51273  5485  215  -1.65  0.17  0.18  1.69  
HD59555  5380  261  -1.32  0.2  0.18  2.72  
HD105341  4063  316  -1.43  0.28  0.17  0.67  
HD92855  5762  85  -1.07  0.14  0.18  2.59  
HD10780  5209  155  -0.23  0.07  0.17  4.02  
HD191226  3787  480  -1.82  0.3  0.18  -0.1  
HD196673  4753  717  -1.31  0.34  0.18  -0.54  
HD199939  4438  384  -0.81  0.13  0.17  1.84  
HD201657  4172  502  -2.25  0.38  0.18  -1.76  
CNCVn  4308  220  -1.34  0.18  0.17  1.57  
HD135148  4200  196  -1.95  0.17  0.17  1.05  
HD142743  5592  168  -1.71  0.2  0.18  2.25  
SUMa  3273  698  -5.07  1.82  0.19  -2.81  
BD+172512  5490  191  -1.62  0.39  0.18  0.58  
HD161570  4761  49  -0.88  0.15  0.17  1.03  
HD90162  5738  261  -1.18  0.13  0.18  2.68  
V555Lyr  4516  277  -0.96  0.17  0.17  1.75  
HD31231  6356  104  -1.75  0.25  0.18  4.16  
HD92855  5762  85  -1.07  0.14  0.18  2.59  
DICam  5841  40  -1.66  0.13  0.18  2.98  
DICam2  5482  219  -1.91  0.2  0.18  2.45  
ZZCnc  5509  185  -1.79  0.17  0.18  2.8  
HD214974  4465  342  -2.26  0.41  0.18  1.52  
HD33333  6523  296  -1.91  0.3  0.18  4.64  
HD45194  5708  317  -1.8  0.2  0.18  4.04  
V1261Ori  3480  583  -3.4  0.72  0.18  -0.16  
HD211227  4087  302  -1.71  0.32  0.17  0.67  
HD26897  4333  224  -0.86  0.17  0.17  0.68  
TVAur  3529  1086  -2.56  0.65  0.18  0.04  
2MASSJ22103877+0516144  4060  517  -1.02  0.23  0.17  1.65  
2MASSJ22380795-5042416  5565  1133  -2.0  0.44  0.18  3.36  
ASASSN-VJ181441.19-755530.2  6719  1476  -0.39  1.39  0.18  4.49  
ASASSN-VJ181441.19-755530.  7779  3582  -0.33  4.44  0.19  9.17  
BD+004080  2459  1563  -2.87  0.8  0.17  -3.18  
BD+012916  3757  1299  -2.21  0.36  0.17  -0.24  
BD+074625  4595  202  -4.64  1.5  0.19  0.25  
BD+094483  4402  688  -0.33  0.28  0.17  3.11  
BD-013022  4110  665  -0.6  0.29  0.17  1.37  
BD-033766  5123  812  -0.18  0.37  0.17  4.53  
BD-073076  4642  1105  -0.48  0.42  0.17  3.02  
BD-104311  6049  604  -0.84  0.33  0.18  4.29  
BD-133743  3953  1955  -1.09  0.41  0.17  1.18  
BD-193868  4414  1111  -0.31  0.86  0.17  1.48  
BPSCS22898-0027  5517  1518  -3.14  1.63  0.19  2.39  
BPSCS22964-0161  7721  3605  -0.78  1.87  0.19  6.18  
BPSCS22967-0007  5790  864  -2.43  1.12  0.18  3.62  
BPSCS29495-0042  4445  1484  -3.11  0.6  0.18  0.35  
BPSCS30301-0015  5638  1963  -1.75  2.0  0.19  2.58  
BPSCS30301-001  5257  3439  -2.13  0.84  0.18  5.51  
BPSCS30322-0023  2571  2106  -5.97  3.81  0.2  -5.37  
CD-279249  4572  888  -0.8  0.32  0.17  1.24  
CD-346792  7783  1358  -0.51  1.84  0.18  8.55  
CD-407555  5544  544  -2.24  0.26  0.18  4.04  
CD-422048  4010  1026  -0.71  0.18  0.17  1.28  
CD-437101  3946  1117  -1.1  0.29  0.17  1.03  
CD-4412736  5484  372  -0.91  0.12  0.18  3.88  
CD-508173  4461  577  -0.05  0.23  0.17  2.08  
CD-538144  5001  433  -0.1  0.23  0.17  2.69  
CD-551483  4991  68  -0.23  0.06  0.17  2.6  
CD-568291  5898  625  -1.47  0.33  0.18  4.31  
CD-621346  5080  87  -1.95  0.17  0.18  0.66  
CD-711234  7706  1158  -1.23  0.91  0.19  6.74  
CD-771143  4429  2005  -0.55  0.4  0.17  3.14  
CPD-84436  4100  1184  -1.13  0.46  0.17  1.43  
HD100421  5376  978  -1.35  0.39  0.18  1.52  
HD102762  4553  235  -0.33  0.11  0.17  2.46  
HD105902  3411  929  -1.28  0.37  0.17  0.77  
HD107264  4070  74  -0.59  0.19  0.17  1.5  
HD113195  4390  666  -0.44  0.43  0.17  2.44  
HD119187  5900  606  -1.13  0.26  0.18  3.59  
HD120620  5175  466  -0.71  0.24  0.18  3.12  
HD122687  4650  636  -0.61  0.17  0.17  1.93  
HD122746  6081  815  -1.88  0.76  0.18  4.0  
HD123585  5965  259  -1.17  0.34  0.18  3.21  
HD123701  4520  865  -0.91  0.22  0.17  1.57  
HD127392  6081  373  -0.22  0.23  0.17  5.22  
HD130282  4395  343  -0.5  0.22  0.17  2.08  
HD134060  5937  24  0.06  0.02  0.17  4.23  
HD143899  4899  259  -0.74  0.14  0.17  2.1  
HD146086  6175  509  -3.25  1.28  0.19  4.09  
HD146800  4274  298  -0.55  0.27  0.17  3.94  
HD150862  6187  839  -0.27  0.3  0.17  4.06  
HD154430  4588  255  -0.22  0.24  0.17  3.11  
HD156091  4504  300  -0.02  0.1  0.17  1.87  
HD168214  5130  70  -0.44  0.1  0.17  2.69  
HD168560  4420  395  -0.33  0.11  0.17  2.32  
HD168791  4201  227  -0.2  0.08  0.17  2.06  
HD170149  6542  114  -0.47  0.11  0.18  3.89  
HD172555  7371  628  -1.49  0.29  0.18  6.62  
HD175674  4271  86  -0.22  0.07  0.17  2.4  
HD176105  4791  194  -0.01  0.14  0.17  2.98  
HD177192  4700  434  -0.42  0.28  0.17  1.83  
HD177539  4282  858  -0.45  0.26  0.17  1.88  
HD18182  4916  69  -0.4  0.13  0.17  1.95  
HD182250  5007  378  -0.17  0.1  0.17  2.82  
HD182300  4826  277  -0.45  0.15  0.17  2.05  
HD184001  4415  1093  -0.79  0.24  0.17  0.78  
HD187762  4743  149  -0.45  0.16  0.17  2.7  
HD18853  6339  296  -0.46  0.13  0.18  3.94  
HD188985  6268  508  -0.36  0.15  0.18  4.59  
HD192310  5042  93  0.14  0.06  0.17  4.86  
HD193530  4014  1173  -0.53  0.35  0.17  1.75  
HD194703  4116  569  -0.58  0.17  0.17  1.86  
HD196445  4669  500  -0.18  0.28  0.17  3.28  
HD198581  7428  129  -1.35  0.22  0.18  6.79  
HD200063  4018  370  -0.47  0.17  0.17  1.89  
HD202400  6119  609  -2.05  0.31  0.18  3.74  
HD205156  5780  84  -0.64  0.11  0.18  4.36  
HD206983  3936  563  -1.41  0.18  0.17  0.84  
HD207129  5889  78  -0.81  0.11  0.18  2.55  
HD207277  4531  85  -0.23  0.08  0.17  2.55  
HD207585  5603  341  -2.17  0.41  0.18  3.1  
HD20758  5845  224  -1.53  0.26  0.18  3.18  
HD211173  4751  182  -0.5  0.07  0.17  2.62  
HD211221  5072  326  -0.07  0.17  0.17  2.8  
HD211954  4170  966  -0.96  0.46  0.17  2.08  
HD214579  4263  231  -0.4  0.09  0.17  2.21  
HD214889  4832  379  -0.45  0.09  0.17  2.37  
HD217447  4987  168  -0.47  0.05  0.17  2.34  
HD219899  5888  150  -0.25  0.07  0.17  3.69  
HD21989  4502  155  -0.39  0.09  0.17  1.92  
HD221531  6688  140  -0.88  0.2  0.18  4.32  
HD222349  6383  514  -0.62  0.19  0.18  4.89  
HD224621  5667  385  -0.65  0.14  0.18  3.39  
HD22772  4834  251  -0.38  0.1  0.17  2.24  
HD2454  6426  113  -0.66  0.17  0.18  3.89  
HD24864  6959  217  -0.58  0.27  0.18  4.51  
HD269246  3838  1316  -1.17  1.15  0.18  2.51  
HD311324  5768  907  -1.02  0.33  0.18  2.78  
HD33709  4787  326  -0.47  0.16  0.17  1.48  
HD39778  4487  406  -0.63  0.16  0.17  1.92  
HD45483  4682  663  -0.41  0.12  0.17  2.49  
HD50264  5435  404  -0.68  0.18  0.18  3.36  
HD5332  5509  601  -0.69  0.32  0.17  4.26  
HD6434  5614  106  -0.93  0.12  0.18  4.05  
HD69578  6062  1057  -0.43  0.16  0.17  3.23  
HD72673  5165  78  -0.26  0.06  0.17  4.45  
HD74950  3873  485  -0.65  0.15  0.17  1.78  
HD749  4662  343  -0.6  0.16  0.17  2.31  
HD76225  5513  425  -1.22  0.45  0.18  2.43  
HD82221  2314  1275  -1.67  0.66  0.17  -0.59  
HD84759  4738  257  0.04  0.07  0.17  0.53  
HD87080  4733  1146  -1.34  0.27  0.18  2.61  
HD88035  4826  310  -0.76  0.18  0.17  1.27  
HD88562  3784  749  -0.71  0.27  0.17  1.62  
HD8856  4527  469  -0.36  0.31  0.17  3.14  
HD89638  5049  227  -0.27  0.11  0.17  2.82  
HD89948  6027  126  -0.38  0.1  0.18  4.23  
HD91979  4742  249  -0.49  0.14  0.17  2.57  
HD9254  6045  133  -0.54  0.09  0.18  3.61  
